prefecture,total,web_present,web_missing,unique_categories_count,categories_sample
東京都,928,759,169,94,2 つ星ホテル;4 つ星ホテル;IT コンサルタント;NPO法人;Service establishment;インターネット マーケティング業;ウェブ デザイナー;エクステリアショップ;クリニック・医院・診療所;グループホーム
神奈川県,2927,2332,595,157,2 つ星ホテル;ATM;NPO法人;Service establishment;アパート;アパート貸付業;イベント会場;ウェルネス センター;エクステリアショップ;オートキャンプ場
新潟県,1245,807,438,116,2 つ星ホテル;NPO法人;Service establishment;アパート;クリニック・医院・診療所;グループホーム;コインランドリー;コミュニティ センター;コンビニエンスストア;サッカー球技場
富山県,1082,665,417,154,2 つ星ホテル;3 つ星ホテル;4 つ星ホテル;ATM;NPO法人;Service establishment;アパート;アルミ窓製造業者;イタリア料理店;イベント会場
石川県,1039,613,426,164,2 つ星ホテル;3 つ星ホテル;ATM;NPO法人;ごみ捨て場;アパート;イタリア料理店;イン;ウェディング サービス;ウェルネス センター
福井県,655,389,266,143,2 つ星ホテル;3 つ星ホテル;ATM;かに料理店;ごみ回収業;ごみ捨て場;アパート;アパート貸付業;イン;ウェルネス センター
山梨県,387,250,137,77,NPO法人;アパート;カラオケ;キャンプ場;クリニック・医院・診療所;グループホーム;コミュニティ センター;コンサルタント;サービスエリア;スポーツ複合施設
長野県,1679,977,702,214,1 つ星ホテル;2 つ星ホテル;3 つ星ホテル;4 つ星ホテル;B&B;NPO法人;Service establishment;Wi-Fi 接続スポット;アパート;イン
岐阜県,971,637,334,106,NPO法人;Service establishment;アパート;アパート貸付業;ウェルネス センター;カフェ・喫茶;カルチャー スクール;クリニック・医院・診療所;グループホーム;ケーキ屋
静岡県,1485,994,491,131,2 つ星ホテル;3 つ星ホテル;NPO法人;Service establishment;アパート;ウェルネス センター;オートキャンプ場;カフェ・喫茶;キッチン リフォーム業者;キャンプ場
愛知県,5886,3706,2180,374,3 つ星ホテル;ATM;DIY 用品;NPO法人;Service establishment;うどん屋;おむつサービス;おもちゃ店;ごみ捨て場;まつげサロン
三重県,776,477,299,95,NPO法人;アパート;ウェルネス センター;オーガニック ショップ;オートキャンプ場;カフェテリア;カフェ・喫茶;キャンプ場;キャンプ場＆コテージ;クリニック・医院・診療所
滋賀県,364,264,100,34,2 つ星ホテル;ウェルネス センター;クリニック・医院・診療所;グループホーム;コミュニティ センター;タクシー会社;デイケアサービス;ビジネスホテル;ホテル;ホームヘルパー業
京都府,2666,1470,1196,313,1 つ星ホテル;3 つ星ホテル;4 つ星ホテル;5 つ星ホテル;ATM;B&B;DIY 用品;NPO法人;Service establishment;うどん屋
大阪府,2824,2116,708,106,NPO法人;Service establishment;アパート;イベント会場;ウェルネス センター;オートキャンプ場;カフェテリア;カフェ・喫茶;キャンプ場;クリニック・医院・診療所
兵庫県,2246,1560,686,254,3 つ星ホテル;ATM;NPO法人;Service establishment;うどん屋;うなぎ料理店;お好み焼き店;かに料理店;アウトドア スポーツ用品店;アパート
奈良県,735,484,251,118,2 つ星ホテル;3 つ星ホテル;B&B;NPO法人;Service establishment;アウトドアイベント企画会社;イン;ウェルネス センター;オートキャンプ場;カフェ・喫茶
和歌山県,625,326,299,88,2 つ星ホテル;3 つ星ホテル;4 つ星ホテル;NPO法人;Service establishment;アパート貸付業;イン;エステティック サロン;カフェ・喫茶;カー ディテーリング業
鳥取県,496,286,210,118,2 つ星ホテル;NPO法人;うどん屋;ウェルネス センター;エアコン販売店;エンターテインメント;オートキャンプ場;カフェ・喫茶;カレー店;ガス会社
島根県,416,224,192,100,2 つ星ホテル;3 つ星ホテル;NPO法人;うどん屋;アクアショップ;エステティック サロン;エンターテイメント;オーガニック レストラン;カフェ・喫茶;カード ショップ
岡山県,1016,638,378,94,ATM;NPO法人;アパート;インターネット ショップ;ウェルネス センター;エステティック サロン;カフェ・喫茶;クリニック・医院・診療所;クリーニング店;グループホーム
広島県,1164,753,411,112,ATM;NPO法人;お好み焼き店;イタリア料理店;イン;ウェルネス センター;エンターテイメント;カフェ・喫茶;キャンプ場;キャンプ用品店
山口県,458,276,182,50,アパート;カフェ・喫茶;キッチン リフォーム業者;グループホーム;コミュニティ センター;ソーシャルワーカー;デイケアサービス;ホームヘルパー業;リフォーム業;不動産コンサルタント
徳島県,938,591,347,105,2 つ星ホテル;3 つ星ホテル;NPO法人;Service establishment;アパート;イベント会場;イン;エンターテイメント;カラオケ;キャンプ場
香川県,492,318,174,65,2 つ星ホテル;NPO法人;Service establishment;アパート;ウェルネス センター;オートキャンプ場;カフェ・喫茶;カルチャー センター;キャンプ場;クリニック・医院・診療所
愛媛県,565,380,185,71,IT コンサルタント;NPO法人;お好み焼き店;ウェルネス センター;カフェ・喫茶;キャンプ場;クリニック・医院・診療所;グループホーム;コミュニティ センター;コンサルタント
高知県,619,442,177,84,2 つ星ホテル;NPO法人;Service establishment;アパート;イン;ウェルネス センター;オフィス スペース レンタル代理店;キャンプ場;クリニック・医院・診療所;グループホーム
福岡県,2652,1728,924,132,ATM;NPO法人;Service establishment;うどん屋;アパート;イタリア料理店;ウェルネス センター;エクステリアショップ;エステティック サロン;カフェ・喫茶
佐賀県,548,292,256,56,NPO法人;アパート;ウェルネス センター;グループホーム;コミュニティ カレッジ;コミュニティ センター;コール センター;ゴルフ場;ソーシャルワーカー;デイケアサービス
長崎県,692,353,339,78,2 つ星ホテル;3 つ星ホテル;4 つ星ホテル;NPO法人;カトリック教会;キャンプ場;キャンプ場＆コテージ;グループホーム;コミュニティ センター;コーヒーショップ・喫茶店
熊本県,1720,966,754,161,3 つ星ホテル;ATM;NPO法人;Service establishment;ちゃんぽん麺レストラン;アパート;イタリア料理店;ウェルネス センター;エンターテイメント;オートキャンプ場
大分県,405,221,184,54,3 つ星ホテル;NPO法人;ウェルネス センター;グループホーム;コミュニティ センター;スパ;スーパーマーケット;デイ スパ;デイケアサービス;バーベキュー店
宮崎県,825,475,350,128,3 つ星ホテル;ATM;NPO法人;うどん屋;おばんざい料理店;アパート;イベント会場;イン;ウェルネス センター;オートキャンプ場
鹿児島県,1045,551,494,109,1 つ星ホテル;2 つ星ホテル;NPO法人;RV 保管施設;アパート貸付業;ウェルネス センター;エンターテイメント;カフェ・喫茶;キャリアガイダンスサービス;キャンプ場
沖縄県,776,454,322,114,2 つ星ホテル;3 つ星ホテル;うどん屋;アジア料理店;アパート;イン;ウェルネス センター;ウェルネス プログラム;オフィス スペース レンタル代理店;オートキャンプ場
(空欄/未特定),379,224,155,110,3 つ星ホテル;4 つ星ホテル;B&B;Home help service agency;アパート;アパート貸付業;イベント会場;ウェディング プランナー;ウェルネス センター;エクステリアショップ
