施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID
286,マイライフホール花川 ㈱北海道典範,0133-62-9561,〒061-3203,北海道,石狩市,花川南３条５丁目９,https://tenpan.co.jp/,https://www.google.com/maps?cid=9056980180149905249&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.1469327,141.3011441,ChIJ7wR4GQAlC18RYaeW53zbsH0
296,セレモニーホール青柳 本館｜青柳㈱,011-784-7300,〒065-0019,北海道,札幌市,東区北１９条東２２丁目５?２５,https://ch-aoyagi.co.jp/,https://www.google.com/maps?cid=16195115903002354722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.5,,43.0861516,141.3854007,ChIJvf3gIzQpC18RIiS8vhucwOA
299,あおぞらメモリアル,011-790-8617,〒007-0839,北海道,札幌市,東区北３９条東２丁目１?１,https://www.aozora-memorial.com/,https://www.google.com/maps?cid=11737981543355171328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.1067862,141.3477218,ChIJW73hqMkoC18RAMLG7wWw5aI
300,ひがしで葬儀社,011-731-3095,〒007-0841,北海道,札幌市,東区北４１条東１丁目１,https://www.higashidesogisya.com/,https://www.google.com/maps?cid=16499204800383419840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.1084887,141.3453327,ChIJR6iSKLYoC18RwAVGc1nz-OQ
301,家族葬のメモリーズてんそう,011-782-1018,〒007-0867,北海道,札幌市,東区伏古７条２丁目６?２,https://tensou4649.jimdofree.com/,https://www.google.com/maps?cid=9613751012787828501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,,43.0908708,141.3913269,ChIJA_rmiMwuC18RFTdFPJznaoU
304,㈲永蓮,011-789-4444,〒007-0834,北海道,札幌市,東区北３４条東２２丁目１?３３,https://www.eiren-sosai.com/,https://www.google.com/maps?cid=2978001629308173022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.1036186,141.379734,ChIJ8yyQqCkvC18R3rpyJ7T8Uyk
305,北20条綜合ホール,011-748-3133,〒065-0020,北海道,札幌市,東区北２０条東１４丁目４?１,https://www.sousaisougou-sapporo.com/,https://www.google.com/maps?cid=7782781433383067403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.0884589,141.3700655,ChIJPdPIaCUpC18RC59NjXr-AWw
308,㈲泉堂はなや 泉堂葬儀社,011-791-4499,〒007-0811,北海道,札幌市,東区東苗穂１１条３丁目１４?５ 泉堂葬儀社,http://www.izumidou.com/,https://www.google.com/maps?cid=11980088743430157577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.103015,141.41974,ChIJfa4n8u4uC18RCXXPKT3TQaY
312,ファミリーホール白石,011-871-4949,〒003-0838,北海道,札幌市,白石区北郷８条７丁目３?５ 家族葬ファミリーホール白石,http://www.ceremony-kyodo.co.jp/,https://www.google.com/maps?cid=10601858155911469072&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.0668184,141.4234535,ChIJ4-EVGfgrC18REFguXtJdIZM
316,㈱黄光社,011-857-1194,〒003-0021,北海道,札幌市,白石区栄通１１丁目１?２８,https://www.koukousya.info/,https://www.google.com/maps?cid=15174117731243639019&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,企業のオフィス,43.0333644,141.4157614,ChIJCeA-g50rC18R68C7Pq5LldI
318,れんげ会,011-860-2733,〒003-0013,北海道,札幌市,白石区中央３条５丁目１?３,http://www.rengekai.info/,https://www.google.com/maps?cid=17195295380036287670&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.0577446,141.4015477,ChIJIw7G_-crC18Rtnz6Jgv2oe4
324,札幌葬儀の心弘社,011-807-0061,#N/A ,#N/A ,#N/A ,,https://www.shinkou-sha.com/,https://www.google.com/maps?cid=12070750229928233727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,,#N/A ,#N/A ,ChIJYfg2jJ4rC18R_0pWa2Hrg6c
337,むすめやホール平岸,011-824-2141,〒062-0935,北海道,札幌市,豊平区平岸５条１３丁目５?２３,http://www.musumeya.co.jp/new_web/hall/hall_hiragishi.html,https://www.google.com/maps?cid=4099890593873567654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4,斎場,43.0258056,141.3772931,ChIJd6doal0qC18Rpp_M4cW85Tg
349,札幌もなみふれあいパーク ホールロゼリア,0120-311-272,〒005-0841,北海道,札幌市,南区石山１条１丁目１２?１２９１番,https://www.iseya.co.jp/funeral/,https://www.google.com/maps?cid=2383624857426075449&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,42.9806342,141.3429275,ChIJNzrwPSLVCl8ROR-syC1WFCE
374,やわらぎファミリア発寒 / ㈱あいプラン,0120-600-300,〒063-0833,北海道,札幌市,西区発寒１３条３丁目７?４２,http://www.yawaragisaijyo.com/hall/fa_hatsusamu/?utm_source=google&utm_medium=gmb&utm_campaign=hall_fa_hatsusamu,https://www.google.com/maps?cid=296328030775161269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.7,斎場,43.0994245,141.293766,ChIJdS4umFkpC18RtTFYI8bEHAQ
391,こよみ葬祭,011-311-0375,〒004-0062,北海道,札幌市,厚別区厚別西２条１丁目４?１３,https://koyomi-sousai.com/,https://www.google.com/maps?cid=15673152173863226789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.0466784,141.4577263,ChIJy_FqKIAsC18RpU3Cudw4gtk
392,オギハラ禮葬社,011-892-0268,〒004-0064,北海道,札幌市,厚別区厚別西４条３丁目９?５,https://ogihara.reisow.com/,https://www.google.com/maps?cid=9099909669293255991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.051728,141.460059,ChIJQciN0H0sC18RN-1dfqFfSX4
405,㈱中央葬儀社,011-685-3336,〒006-0812,北海道,札幌市,手稲区前田２条１１丁目１３?３８ 中央葬儀社,https://www.chuou-sougi-sapporo.com/,https://www.google.com/maps?cid=17715356483958368057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3,斎場,43.1220155,141.2483613,ChIJJdiRHK4nC18ROWfAt9yW2fU
413,ミモザホール手稲あけぼの,011-686-4242,〒006-0834,北海道,札幌市,手稲区曙４条２丁目３?９,https://www.sp-kouekisha.co.jp/,https://www.google.com/maps?cid=9968029103971232229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.1308319,141.2359495,ChIJm8_qVJgnC18R5en1PKiNVYo
418,小樽典礼斎場 縁,0120-271-801,〒047-0032,北海道,小樽市,稲穂３丁目２?１,https://www.otarutenrei.co.jp/,https://www.google.com/maps?cid=5407536006764889582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.3,斎場,43.1998903,140.9974888,ChIJyyUDgtHhCl8R7gVbCVltC0s
421,家族葬さくらセレモニーホール,0120-913-493,〒047-0156,北海道,小樽市,桜１丁目３?３,https://otaru-sakura.com/,https://www.google.com/maps?cid=3128355374331045886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.1783179,141.0374701,ChIJVUVLWnXhCl8R_qcvYqMmais
426,博礼葬祭,0134-23-0246,〒047-0013,北海道,小樽市,奥沢３丁目２５?２０,https://www.hakurei-sousai.com/,https://www.google.com/maps?cid=9749982478628600613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.173455,140.997504,ChIJ_-Z4OpLgCl8RJbvwHGjlToc
434,小樽お客様相談センター／㈱あいプラン,0134-34-4522,#N/A ,#N/A ,#N/A ,,https://www.apg-aiplan.com/gojokai/,https://www.google.com/maps?cid=6021331487050961945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.1974767,140.9952177,ChIJrwJoVoDhCl8RGRSMyBURkFM
435,弘善社 中央斎場,0120-031-059,〒079-8418,北海道,旭川市,永山８条１丁目１?６,http://www.kouzensya.co.jp/?utm_source=gbp&utm_medium=google&utm_campaign=maps,https://www.google.com/maps?cid=12048591674396786828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,斎場,43.780672,142.401214,ChIJlxjoV47mDF8RjEAmrEoyNac
437,淤見㈱ 淤見せせらぎホール,0166-61-7555,〒070-8005,北海道,旭川市,神楽５条５丁目１?２,http://www.omi7555.com/,https://www.google.com/maps?cid=11184523930120315105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,斎場,43.760389,142.3453365,ChIJ_aSmBB3mDF8R4WCtnEFpN5s
438,旭川公益社 北斎場,0166-55-1212,〒070-0832,北海道,旭川市,大町１条１０丁目１８１?６,https://asahikawakouekisya.com/,https://www.google.com/maps?cid=14709819313131654360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.5,,43.7903083,142.3519928,ChIJvfjm9sXlDF8R2IxktbrGI8w
445,おみはなや / ㈱丸信旭川典礼社おみはなや 本社,0166-22-7646,〒070-0038,北海道,旭川市,８条通７丁目３４?５,http://omihanaya.com/,https://www.google.com/maps?cid=18329183409122558731&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.7733033,142.3629369,ChIJBdYebnPmDF8RC8O7yzJXXv4
446,長田葬祭 セレモニーホール,0166-40-4000,〒079-8413,北海道,旭川市,永山３条１１丁目１,http://nagatasousai.jp/company/index.html,https://www.google.com/maps?cid=12583287069422340766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.6,斎場,43.7990397,142.4177901,ChIJ2Wb6bqjmDF8Rnkqvp-vQoK4
447,㈱旭川公益社,0166-52-1211,〒070-0841,北海道,旭川市,旭町２条３丁目,https://www.asahikawakouekisya.com/,https://www.google.com/maps?cid=11914703115920187488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,,43.7835584,142.3595319,ChIJbZ8JiNnlDF8RYKCpbFuHWaU
448,㈱中村葬儀社,0120-369-900,〒078-8234,北海道,旭川市,豊岡４条２丁目２?２６,https://www.wn-heaven.com/,https://www.google.com/maps?cid=6292937470274171496&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.7609015,142.3925548,ChIJjdWun0XmDF8RaPJvrUkBVVc
